Date,Open,High,Low,Close,Volume,Daily_Return,MA20,MA50,MA200,Volatility_30,Cumulative_Return
2024-04-01,36.8,36.9,35.8,36.7,116183,0.002732240437158584,37.175,,,0.01901856938840796,0.8359908883826878
2024-04-02,36.1,36.8,35.4,36.7,89004,0.0,37.040000000000006,,,0.01890782752934776,0.8359908883826878
2024-04-03,36.5,37.5,36.2,37.3,158775,0.01634877384196165,36.955,,,0.019276821339717896,0.849658314350797
2024-04-08,35.5,36.3,34.5,36.0,108612,-0.03485254691688999,36.805,,,0.019916169754752397,0.8200455580865601
2024-04-09,35.9,36.4,35.4,36.3,147823,0.008333333333333304,36.665000000000006,39.224000000000004,,0.020013720159162314,0.8268792710706148
2024-04-15,35.1,36.0,34.7,35.4,159842,-0.024793388429751984,36.495,39.053999999999995,,0.020371543795457345,0.8063781321184508
2024-04-16,35.0,35.6,34.5,35.3,143412,-0.0028248587570621764,36.325,38.912000000000006,,0.02034658372329216,0.8041002277904326
2024-04-17,35.0,35.4,35.0,35.1,150982,-0.005665722379603277,36.17,38.802,,0.020347970080561936,0.7995444191343962
2024-04-18,34.6,34.7,32.9,33.2,228878,-0.054131054131054124,35.92,38.698,,0.0222481568643206,0.75626423690205
2024-04-21,34.4,34.4,32.2,32.4,207836,-0.024096385542168752,35.665000000000006,38.586,,0.022477995350341673,0.7380410022779041
2024-04-22,32.4,33.2,32.4,32.9,133764,0.015432098765432167,35.455,38.466,,0.022839640810026127,0.7494305239179954
2024-04-23,33.0,33.1,32.3,32.6,152768,-0.009118541033434568,35.285000000000004,38.343999999999994,,0.02283468058472481,0.7425968109339407
2024-04-24,33.0,33.0,31.2,31.9,153216,-0.021472392638036908,35.18,38.154,,0.02299787392353956,0.726651480637813
2024-04-25,31.9,31.9,31.0,31.2,156708,-0.021943573667711602,35.02,37.932,,0.023135181082195425,0.7107061503416855
2024-04-28,32.7,32.7,31.0,32.4,69354,0.03846153846153855,34.805,37.71,,0.024540668255935635,0.7380410022779043
2024-04-29,32.7,32.9,32.3,32.7,63197,0.0092592592592593,34.625,37.51,,0.024694033339772027,0.7448747152619589
2024-04-30,32.8,33.5,32.4,32.9,137299,0.006116207951070152,34.46,37.316,,0.02477905154462139,0.7494305239179953
2024-05-02,33.5,33.5,32.5,33.0,149732,0.003039513677811634,34.33,37.13,,0.024776717004217064,0.7517084282460136
2024-05-05,33.5,34.0,32.6,33.5,186993,0.015151515151515138,34.205,36.924,,0.025026233741371137,0.7630979498861047
2024-05-06,34.2,34.7,33.4,34.5,215836,0.029850746268656803,34.1,36.748000000000005,,0.025618248942396414,0.785876993166287
2024-05-07,34.5,35.2,34.0,34.1,194242,-0.011594202898550732,33.97,36.577999999999996,,0.02562905452740554,0.7767653758542141
2024-05-08,35.0,35.0,34.1,34.3,80532,0.00586510263929596,33.85,36.426,,0.02514692180265803,0.7813211845102503
2024-05-09,34.9,34.9,33.6,34.0,40355,-0.008746355685131157,33.685,36.27,,0.02302764755973962,0.7744874715261957
2024-05-12,33.7,34.5,33.3,33.5,40921,-0.014705882352941124,33.56,36.12,,0.023078504093124678,0.7630979498861046
2024-05-13,34.0,34.3,32.8,33.0,48432,-0.014925373134328401,33.394999999999996,35.967999999999996,,0.019362930862424247,0.7517084282460135
2024-05-14,33.1,33.5,32.5,32.5,121479,-0.015151515151515138,33.25,35.806,,0.019435501189607265,0.7403189066059224
2024-05-15,35.2,35.2,32.0,32.3,72919,-0.006153846153846287,33.1,35.648,,0.019440942492314053,0.7357630979498858
2024-05-16,32.9,32.9,32.0,32.1,52177,-0.006191950464396134,32.95,35.49,,0.019294022849538354,0.7312072892938495
2024-05-19,31.4,32.1,31.2,31.2,35244,-0.028037383177570208,32.85,35.312000000000005,,0.019606207347169783,0.7107061503416854
2024-05-20,30.5,32.8,30.3,31.0,57497,-0.0064102564102563875,32.78,35.132000000000005,,0.019192547829639618,0.7061503416856489
2024-05-21,30.5,32.2,30.5,31.2,35418,0.006451612903225712,32.695,34.96,,0.01925839628115756,0.7107061503416853
2024-05-23,32.9,32.9,30.3,30.3,19225,-0.028846153846153855,32.58,34.778,,0.01970391238149485,0.6902050113895213
2024-05-26,29.6,30.5,29.4,29.9,69433,-0.01320132013201325,32.480000000000004,34.596,,0.019272834438140915,0.6810933940774484
2024-05-27,29.6,32.0,29.6,31.0,46787,0.03678929765886285,32.47,34.436,,0.020142498251690604,0.7061503416856488
